word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
deli,D EH L IY,4,0,0.0,2.037426497940624
deliberate,D IH L IH B ER AH T,8,0,0.0,2.164352855784437
deliberation,D IH L IH B ER EY SH AH N,10,1,0.1,1.3222192947339193
delta,D EH L T AH,5,0,0.0,2.629409599102719
demeanor,D IH M IY N ER,6,0,0.0,1.7403626894942439
demonstrate,D EH M AH N S T R EY T,10,1,0.1,2.3783979009481375
demonstration,D EH M AH N S T R EY SH AH N,12,2,0.16666666666666666,2.5646660642520893
demure,D IH M Y UH R,6,0,0.0,1.3222192947339193
den,D EH N,3,0,0.0,2.4955443375464483
denominator,D IH N AA M AH N EY T ER,10,0,0.0,1.462397997898956
dense,D EH N S,4,1,0.25,2.037426497940624
density,D EH N S AH T IY,7,1,0.14285714285714285,1.8692317197309762
department,D IH P AA R T M AH N T,10,0,0.0,3.512817758564873
departmental,D IH P AA R T M EH N AH L,11,0,0.0,1.6334684555795864
depend,D IH P EH N D,6,0,0.0,2.7032913781186614
dependent,D IH P EH N D AH N T,9,0,0.0,2.060697840353612
depict,D IH P IH K T,6,0,0.0,1.4471580313422192
depository,D IH P AA Z AH T AO R IY,10,1,0.1,1.7075701760979363
depot,D IY P OW,4,0,0.0,2.1789769472931693
deputy,D EH P Y AH T IY,7,0,0.0,2.902546779313991
derivative,D ER IH V AH T IH V,8,0,0.0,1.6020599913279623
derive,D ER AY V,4,0,0.0,1.5563025007672873
descend,D IH S EH N D,6,1,0.16666666666666666,1.99563519459755
descendant,D IH S EH N D AH N T,9,1,0.1111111111111111,1.7481880270062005
descent,D IH S EH N T,6,1,0.16666666666666666,2.123851640967086
description,D IH S K R IH P SH AH N,10,2,0.2,2.8102325179950842
desert,D EH Z ER T,5,1,0.2,3.1547282074401557
designated,D EH Z IH G N EY T IH D,10,1,0.1,2.123851640967086
detach,D IH T AE CH,5,1,0.2,1.5440680443502757
detection,D IH T EH K SH AH N,8,1,0.125,1.9344984512435677
detergent,D IH T ER JH AH N T,8,1,0.125,1.724275869600789
deterrent,D IH T ER R AH N T,8,0,0.0,1.3617278360175928
deuce,D UW S,3,1,0.3333333333333333,2.167317334748176
development,D IH V EH L AH P M AH N T,11,0,0.0,2.7965743332104296
deviate,D IY V IY EY T,6,0,0.0,1.591064607026499
dew,D UW,2,0,0.0,2.041392685158225
diagnose,D AY AH G N OW S,7,1,0.14285714285714285,1.7323937598229686
diagnosis,D AY AH G N OW S AH S,9,2,0.2222222222222222,2.342422680822206
diagonal,D AY AE G AH N AH L,8,0,0.0,1.4471580313422192
diagram,D AY AH G R AE M,7,0,0.0,1.8195439355418688
dial,D AY AH L,4,0,0.0,2.656098202012832
diameter,D AY AE M AH T ER,7,0,0.0,1.7323937598229686
diaphragm,D AY AH F R AE M,7,0,0.0,2.0253058652647704
diction,D IH K SH AH N,6,1,0.16666666666666666,1.414973347970818
differ,D IH F ER,4,0,0.0,2.0969100130080562
difference,D IH F ER AH N S,7,1,0.14285714285714285,3.6092741724045876
diffuse,D IH F Y UW S,6,1,0.16666666666666666,1.7075701760979363
dig,D IH G,3,0,0.0,3.3725438007590705
digest,D AY JH EH S T,6,2,0.3333333333333333,2.2278867046136734
digestion,D AY JH EH S CH AH N,8,3,0.375,1.724275869600789
digestive,D AY JH EH S T IH V,8,2,0.25,1.662757831681574
digit,D IH JH AH T,5,1,0.2,1.4913616938342726
dilation,D AY L EY SH AH N,7,1,0.14285714285714285,1.4771212547196624
dimension,D IH M EH N SH AH N,8,1,0.125,2.374748346010104
dinghy,D IH NG IY,4,0,0.0,1.568201724066995
diocese,D AY AH S IY Z,6,2,0.3333333333333333,1.6232492903979006
dioxide,D AY AA K S AY D,7,1,0.14285714285714285,1.724275869600789
